Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,367.1257824,400.1343709,502.6491673,694.6496402,869.6040412,998.7370468,1153.288405,1311.006139,1453.765145,1565.3435,1440.641114,1792.64203,1918.819584,1320.90937,1313.666953,1376.975935,1621.331077,1742.778934,1909.387088,2549.012255,2712.711689,2480.645843,2337.144996,2580.532943,3623.062012,4780.810924,5141.284882,5254.835051,5015.540329,3440.522905,3726.8112,3142.234411,2824.714912,3056.648975,3623.223511,4773.269572,5866.024313,7323.190507,8801.759224,8569.900891,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8883.903092,6923.700197,7696.78513,8917.673509
British Virgin Islands,1212.165327,1021.866809,1056.718684,1182.915253,1396.465109,1513.845653,1627.158899,1658.406126,1899.650788,2337.319879,2856.153209,3024.128312,3434.865001,3736.973041,3963.656943,3987.686032,4195.674356,4840.354608,5263.664771,6062.624014,7676.728565,9743.204475,12211.00218,16011.96553,20324.53816,25651.70923,28297.54763,32064.79033,35973.23675,39240.08741,42659.7311,44779.4156,42164.63416,36989.07256,37504.79005,42283.165,45054.9741,47461.50208,45713.5462,39668.33656,40555.59588,38402.11716,39296.64685,39499.94766,41504.60806,43647.07485,47270.58744,43569.52761,45719.46596,49448.87292,46222.90521,46915.89506,46996.74994
Bulgaria,1048.59052,1029.050237,1196.232688,1417.550265,1531.647164,1343.908397,1418.145113,1444.620074,1560.761297,1047.153611,1206.11045,1385.266415,1506.519981,1621.769989,1740.641184,1848.509,1970.599912,2147.953496,2475.459995,2496.742693,2363.885969,963.3607125,1093.127083,1385.456511,1250.737922,2240.247358,1463.42321,1360.283456,1825.277943,1670.739231,1635.774901,1765.23914,2056.856285,2670.580037,3325.708294,3821.853038,4427.035975,5756.064783,7098.537941,6814.098779,6676.401586,7646.861178,7250.873305,7511.506523,7742.783575,6945.432877,7442.667846,8237.83476,9319.715187,9767.173368,10058.97965,12204.36863,13301.92371
Burkina Faso,90.20879462,90.53419824,113.6608923,129.2491265,139.7495954,162.9867618,153.0092525,180.6460581,227.0984967,296.9654318,313.6094357,282.841487,252.4049724,224.2045276,194.7325862,221.0912313,281.9101237,319.2318623,343.1120623,334.11917,385.9292471,380.373909,397.3722574,369.4710262,213.416343,261.1477341,276.7078503,255.2149965,284.5332559,293.7796732,249.1816556,260.2157963,285.4063295,363.0027734,404.724638,442.7682668,456.9358167,516.0677518,619.3832772,601.456763,626.6589787,726.6603145,734.0148628,762.0871222,766.350661,631.6483245,665.7860659,711.1846308,779.2027681,772.5424871,840.2501425,904.47493,845.7605315
Burundi,70.16815869,70.49459431,68.82952332,85.53714794,94.63738924,110.6556358,119.380471,138.3198142,151.9080482,191.6245358,220.5484581,221.1537032,227.1680414,234.2069555,207.7945631,236.6904916,244.6800411,225.3050546,206.5920026,210.5822197,209.4024853,208.6572024,189.2368261,175.4850206,191.3252766,168.6275088,146.5238718,164.2263499,148.0769612,130.7647899,112.4209848,102.439454,94.46644805,86.79415517,95.48289167,151.1880405,166.2762452,170.7067601,194.7107365,203.8607026,222.6608502,236.4501734,237.5995773,241.549503,257.8229314,262.0017585,268.7332911,295.6209363,288.6263937,283.66987,282.4310578,298.1703494,312.8743776
Cabo Verde,253.9168208,280.3493817,313.5536388,383.8962318,381.4397359,440.1327037,407.185546,379.0532099,433.099503,460.9363628,509.9506002,493.1848384,490.1985383,475.9406083,447.6889433,461.0158757,630.0396057,770.1542912,854.3310007,852.1594592,960.9644954,979.790171,1067.306113,1049.587678,1158.188446,1356.290545,1363.789383,1302.820462,1358.055063,1509.604593,1338.228234,1391.246633,1529.629933,2000.925564,2269.728383,2385.788754,2719.755399,3270.237854,3842.794781,3622.107688,3501.813499,3877.798451,3604.193545,3758.638926,3735.706612,3167.79631,3312.702076,3534.343583,3860.454811,3928.309096,3223.735602,3557.837775,3902.589049
Cambodia,114.4397326,114.4421384,111.7308408,94.32738661,96.57494956,106.9661812,120.3822919,113.9176571,123.5463827,114.885952,115.3582728,123.0403354,125.6051015,131.1168194,137.513094,143.611566,146.4105345,175.1499953,203.19591,203.2153062,190.5236369,242.8043614,246.3058752,237.5989234,251.6077625,303.0676785,313.586676,301.2247773,268.237027,295.2160874,302.5567846,323.531977,341.4653774,364.7948219,410.0912382,475.0693943,539.7473653,629.9210767,742.3979724,734.8151186,782.6957387,880.3103044,950.4825446,1015.220881,1098.074538,1170.742816,1281.105971,1400.899265,1533.315985,1671.914393,1577.911739,1625.235021,1759.608024
Cameroon,203.9176445,222.6099144,279.4904087,369.3527127,383.7436878,490.194315,520.0121574,592.7432869,759.1876134,982.0702489,1184.23972,1072.485605,1050.161776,1072.8044,1027.008279,978.8716632,1160.35243,1225.872543,1162.025569,1081.180901,1213.637537,1177.456505,1212.591639,1295.916464,692.8587354,822.3632146,817.1840958,773.927148,789.2742945,786.5573461,698.42428,706.3661816,776.6042552,974.330224,1117.973663,1128.908821,1176.922213,1309.271258,1470.058919,1440.064184,1382.465025,1495.966385,1433.805937,1558.695919,1629.543637,1398.616333,1426.065481,1479.862223,1594.060109,1538.687912,1539.130547,1666.932809,1588.478723
Canada,4162.821151,4604.260692,5165.075378,5913.640546,7095.32237,7565.684292,8912.453525,9023.735148,9221.018024,10136.20042,11261.52359,12381.01051,12534.67246,13479.96324,13933.54178,14169.30767,14512.39879,16383.80977,18995.91135,20819.53945,21552.73408,21863.36477,20967.35544,20198.89089,20010.49949,20688.11876,21309.24707,21919.04898,21032.53602,22316.09939,24272.92606,23836.76726,24284.37658,28323.55116,32172.57379,36415.48249,40555.12398,44696.06119,46748.96502,40918.85066,47617.91114,52233.34156,52712.2033,52681.46414,50940.66043,43549.85042,42317.78611,45125.10981,46587.6093,46469.2272,43485.21287,52456.71907,55596.84402
Central African Republic,133.4866057,139.2454834,156.0653285,180.2168853,183.3813988,241.9433362,283.98209,316.0923029,376.6007571,427.8199182,481.5753543,425.6962985,395.9597849,344.6783017,326.413828,354.4287978,454.4821225,480.4206209,498.0556267,473.9341538,536.5904895,497.2764416,493.7865357,433.1214529,279.3658636,356.1566108,313.4887258,283.694388,284.6969844,286.084755,254.5328076,253.5825627,263.8950913,296.1411811,322.9227322,335.676271,358.0290543,401.0743823,455.1260022,451.1066256,459.3286648,514.5352779,525.8975836,352.1269538,394.3315429,351.6135835,372.1356006,414.7403226,435.9321868,426.2785602,435.0849378,461.2649974,429.3958608
